nomeParlamentar,descricao,fornecedor,cnpjCPF,numero,dataEmissao,valorDocumento,valorGlosa,valorLiquido,mes,ano,lote,numeroDeputadoID,idDocumento,urlDocumento,idDeputado,cnpj_basico,datetime
Gleisi Hoffmann,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22100575,2023-05-02T00:00:00,1994.79,0,1994.79,4,2023,1931321,3430,7538852,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3430/2023/7538852.pdf,107283.0,06990590,2023-04-01
Carlos Zarattini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,21781367,2023-04-02T00:00:00,2000,0,2000,3,2023,1924462,1963,7526830,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1963/2023/7526830.pdf,141398.0,06990590,2023-03-01
Carlos Zarattini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22199976,2023-05-03T00:00:00,3304.86,0,3304.86,4,2023,1934445,1963,7544119,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1963/2023/7544119.pdf,141398.0,06990590,2023-04-01
Carlos Zarattini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22579293,2023-06-02T00:00:00,2895.37,0,2895.37,5,2023,1945667,1963,7565499,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1963/2023/7565499.pdf,141398.0,06990590,2023-05-01
Carlos Zarattini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23251147,2023-07-03T00:00:00,1968.4,0,1968.4,6,2023,1951231,1963,7575436,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1963/2023/7575436.pdf,141398.0,06990590,2023-06-01
Carlos Zarattini,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23345574,2023-08-02T00:00:00,1555.63,0,1555.63,7,2023,1960331,1963,7593534,https://www.camara.leg.br/cota-parlamentar/documentos/publ/1963/2023/7593534.pdf,141398.0,06990590,2023-07-01
Baleia Rossi,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22938086,2023-07-02T00:00:00,1152.13,0,1152.13,6,2023,1950009,3021,7573227,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3021/2023/7573227.pdf,178975.0,06990590,2023-06-01
Silvia Cristina,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22563173,2023-06-02T00:00:00,1150.05,0,1150.05,5,2023,1939470,3278,7554095,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3278/2023/7554095.pdf,204360.0,06990590,2023-05-01
Silvia Cristina,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22974648,2023-07-02T00:00:00,744.97,0,744.97,6,2023,1950556,3278,7574226,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3278/2023/7574226.pdf,204360.0,06990590,2023-06-01
Silvia Cristina,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23710776,2023-08-03T00:00:00,96.24,0,96.24,7,2023,1960097,3278,7593017,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3278/2023/7593017.pdf,204360.0,06990590,2023-07-01
Carlos Veras,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,4715846457,2023-05-01T00:00:00,1029.74,0,1029.74,4,2023,1939180,3234,7553216,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3234/2023/7553216.pdf,204426.0,06990590,2023-04-01
André Janones,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23223487,2023-07-03T00:00:00,939.79,0,939.79,7,2023,1951980,3257,7576867,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3257/2023/7576867.pdf,204515.0,06990590,2023-07-01
Messias Donato,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,21967289,2023-04-02T00:00:00,199.99,0,199.99,3,2023,1921785,3631,7521974,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3631/2023/7521974.pdf,220530.0,06990590,2023-03-01
Messias Donato,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22217824,2023-05-03T00:00:00,665.27,0,665.27,5,2023,1929469,3631,7536221,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3631/2023/7536221.pdf,220530.0,06990590,2023-05-01
Messias Donato,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,22868836,2023-06-03T00:00:00,334.73,0,334.73,6,2023,1949778,3631,7572720,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3631/2023/7572720.pdf,220530.0,06990590,2023-06-01
Messias Donato,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,GOOGLE BRASIL INTERNET LTDA,069.905.900/0012-3 ,23316241,2023-07-03T00:00:00,336.17,0,336.17,7,2023,1949780,3631,7572711,https://www.camara.leg.br/cota-parlamentar/documentos/publ/3631/2023/7572711.pdf,220530.0,06990590,2023-07-01
